cm^-1,Intensity
2641.821973,0.8626
2646.520496,0.866
2651.219019,0.8649
2655.917542,0.8629
2660.616065,0.8589
2665.314587,0.8539
2670.01311,0.8473
2674.711633,0.8336
2679.410156,0.8189
2684.108679,0.7876
2688.807202,0.7684
2693.505725,0.7609
2698.204247,0.75
2702.90277,0.7127
2707.601293,0.6943
2712.299816,0.692
2716.998339,0.691
2721.696862,0.6867
2726.395385,0.6739
2731.093907,0.6689
2735.79243,0.6565
2740.490953,0.6384
2745.189476,0.6028
2749.887999,0.5918
2754.586522,0.5781
2759.285045,0.5559
2763.983567,0.5396
2768.68209,0.5175
2773.380613,0.4814
2778.079136,0.4405
2782.777659,0.4105
2787.476182,0.3666
2792.174705,0.3085
2796.873228,0.2857
2801.57175,0.2697
2806.270273,0.2722
2810.968796,0.267
2815.667319,0.2206
2820.365842,0.2027
2825.064365,0.1867
2829.762888,0.1631
2834.46141,0.1241
2839.159933,0.0869
2843.858456,0.0199
2848.556979,0.0123
2853.255502,0.01
2857.954025,0.008
2862.652548,0.01
2867.35107,0.01
2872.049593,0.0111
2876.748116,0.013
2881.446639,0.0141
2886.145162,0.017
2890.843685,0.0204
2895.542208,0.0373
2900.24073,0.0512
2904.939253,0.0844
2909.637776,0.1035
2914.336299,0.1272
2919.034822,0.1629
2923.733345,0.1572
2928.431868,0.1345
2933.13039,0.1042
2937.828913,0.0648
2942.527436,0.0502
2947.225959,0.04
2951.924482,0.04
2956.623005,0.0399
2961.321528,0.0338
2966.020051,0.0228
2970.718573,0.0143
2975.417096,0.011
2980.115619,0.011
2984.814142,0.011
2989.512665,0.0136
2994.211188,0.0171
2998.909711,0.0206
3003.608233,0.0301
3008.306756,0.0531
3013.005279,0.15
3017.703802,0.2268
3022.402325,0.3369
3027.100848,0.5357
3031.799371,0.6241
3036.497893,0.7579
3041.196416,0.8382
3045.894939,0.8479
3050.593462,0.8583
3055.291985,0.8666
3059.990508,0.868
3064.689031,0.87
3069.387553,0.87
3074.086076,0.871
3078.784599,0.873
3083.483122,0.8747
3088.181645,0.8791
3092.880168,0.8837
3097.578691,0.8892
3102.277213,0.8999
3106.975736,0.9112
3111.674259,0.9197
3116.372782,0.9333
3121.071305,0.9438
3125.769828,0.9511
3130.468351,0.9551
3135.166873,0.956
3139.865396,0.954
3144.563919,0.9529
3149.262442,0.95
3153.960965,0.9488
3158.659488,0.9449
3163.358011,0.9429
3168.056534,0.9404
3172.755056,0.9379
3177.453579,0.9344
3182.152102,0.9328
3186.850625,0.927
3191.549148,0.9239
3196.247671,0.9199
